ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
TON,Toncoin,Crypto,emerging,Crypto,1.72,-1.17%,-0.82%,-9.88%,+3.85%,+4%,3.444,,,181.57,128122747,1271020565,7980676512,,,,,-1.17,98.83,-1.17,988.3,-11.7,9883.0,-117.0,-0.82,99.18,-0.82,991.8,-8.2,9918.0,-82.0,-9.88,90.12,-9.88,901.2,-98.8,9012.0,-988.0,3.85,103.85,3.85,1038.5,38.5,10385.0,385.0,4.0,104.0,4.0,1040.0,40.0,10400.0,400.0,Telegram’s TON Rebrand Gets Apple Boost as Durov Expands the Ecosystem,BeInCrypto,2026-06-10,0.477,Nasdaq TON Whale Locks 226 Million Tokens as Yield Jumps,BeInCrypto,2026-06-09,0.0,,,,,,,,,,,,,,
ALGO,Algorand,Crypto,emerging,Crypto,0.094976,+3.26%,+2.06%,-14.00%,-13.80%,-14%,0.632,,,37.1,51664620,259727914,1303350021,,,,,3.26,103.26,3.26,1032.6,32.6,10326.0,326.0,2.06,102.06,2.06,1020.6,20.6,10206.0,206.0,-14.0,86.0,-14.0,860.0,-140.0,8600.0,-1400.0,-13.8,86.2,-13.8,862.0,-138.0,8620.0,-1380.0,-14.0,86.0,-14.0,860.0,-140.0,8600.0,-1400.0,,,,,,,,,,,,,,,,,,,,,,
MINA,Mina,Crypto,emerging,Crypto,0.043688,+0.38%,-0.33%,-25.93%,-42.17%,-42%,0.042,,,3.96,3660287,27752910,312459741,,,,,0.38,100.38,0.38,1003.8,3.8,10038.0,38.0,-0.33,99.67,-0.33,996.7,-3.3,9967.0,-33.0,-25.93,74.07,-25.93,740.7,-259.3,7407.0,-2593.0,-42.17,57.83,-42.17,578.3,-421.7,5783.0,-4217.0,-42.0,58.0,-42.0,580.0,-420.0,5800.0,-4200.0,,,,,,,,,,,,,,,,,,,,,,
POL,Polygon (MATIC),Crypto,infra,Crypto,0.077888,+1.44%,-0.98%,-14.34%,-22.45%,-22%,0.619,,,35.0,24571430,244980755,1341310285,,,,,1.44,101.44,1.44,1014.4,14.4,10144.0,144.0,-0.98,99.02,-0.98,990.2,-9.8,9902.0,-98.0,-14.34,85.66,-14.34,856.6,-143.4,8566.0,-1434.0,-22.45,77.55,-22.45,775.5,-224.5,7755.0,-2245.0,-22.0,78.0,-22.0,780.0,-220.0,7800.0,-2200.0,,,,,,,,,,,,,,,,,,,,,,
DOT,Polkadot,Crypto,infra,Crypto,1.004084,+1.67%,+2.47%,-20.97%,-43.90%,-44%,1.265,,,91.32,80584088,639267410,4343638727,,,,,1.67,101.67,1.67,1016.7,16.7,10167.0,167.0,2.47,102.47,2.47,1024.7,24.7,10247.0,247.0,-20.97,79.03,-20.97,790.3,-209.7,7903.0,-2097.0,-43.9,56.1,-43.9,561.0,-439.0,5610.0,-4390.0,-44.0,56.0,-44.0,560.0,-440.0,5600.0,-4400.0,,,,,,,,,,,,,,,,,,,,,,
LINK,Chainlink,Crypto,infra,Crypto,8.270286,+2.34%,+3.20%,-15.00%,-32.17%,-32%,4.484,,,231.39,166096435,1619728591,9215100102,,,,,2.34,102.34,2.34,1023.4,23.4,10234.0,234.0,3.2,103.2,3.2,1032.0,32.0,10320.0,320.0,-15.0,85.0,-15.0,850.0,-150.0,8500.0,-1500.0,-32.17,67.83,-32.17,678.3,-321.7,6783.0,-3217.0,-32.0,68.0,-32.0,680.0,-320.0,6800.0,-3200.0,Chainlink Bets Big on Prediction Markets with New Oracle Strategy,CoinGape,2026-06-15,0.0,Best Altcoins to Buy in 2026,Motley Fool,2026-06-14,0.637,Chainlink Settles the World Cup but Markets Won’t Settle LINK,BeInCrypto,2026-06-14,0.0,,,,,,,,,,
DOGE,Dogecoin,Crypto,meme,Crypto,0.088116,-0.18%,+1.41%,-19.56%,-24.87%,-25%,11.196,,,741.7,608018041,5191877407,26132281641,,,,,-0.18,99.82,-0.18,998.2,-1.8,9982.0,-18.0,1.41,101.41,1.41,1014.1,14.1,10141.0,141.0,-19.56,80.44,-19.56,804.4,-195.6,8044.0,-1956.0,-24.87,75.13,-24.87,751.3,-248.7,7513.0,-2487.0,-25.0,75.0,-25.0,750.0,-250.0,7500.0,-2500.0,"Top Cryptocurrencies Rise; Bitcoin Tops $66,000",MT Newswires,2026-06-15,0.625,Kraken Unveils CFTC-Regulated Perps,Bankless,2026-06-15,0.0,"'Dogecoin Is For Spending, Not Holding,' Says DOGE Foundation Director",Benzinga,2026-06-15,0.0,,,,,,,,,,
PEPE,Pepe,Crypto,meme,Crypto,3e-06,+1.80%,+3.86%,-21.90%,-27.26%,-27%,0.905,,,181.52,155066770,1270657122,5740175743,,,,,1.8,101.8,1.8,1018.0,18.0,10180.0,180.0,3.86,103.86,3.86,1038.6,38.6,10386.0,386.0,-21.9,78.1,-21.9,781.0,-219.0,7810.0,-2190.0,-27.26,72.74,-27.26,727.4,-272.6,7274.0,-2726.0,-27.0,73.0,-27.0,730.0,-270.0,7300.0,-2700.0,How one crypto trader went from $100M to $9K in leveraging mistake,Yahoo Finance Video,2026-06-11,-0.34,,,,,,,,,,,,,,,,,,
TAO,Bittensor,Crypto,ai,Crypto,262.811505,-3.60%,+21.36%,-4.16%,+20.19%,+20%,2.16,,,225.2,376387647,1576424326,6451382863,,,,,-3.6,96.4,-3.6,964.0,-36.0,9640.0,-360.0,21.36,121.36,21.36,1213.6,213.6,12136.0,2136.0,-4.16,95.84,-4.16,958.4,-41.6,9584.0,-416.0,20.19,120.19,20.19,1201.9,201.9,12019.0,2019.0,20.0,120.0,20.0,1200.0,200.0,12000.0,2000.0,,,,,,,,,,,,,3,strong_buy,0.85,"TAO shows exceptional weekly momentum at +34.04% 1W, +2.81% 1M, and +28.84% YTD, supported by a market cap of £2.31B GBP. As a leading decentralised AI compute protocol, TAO benefits directly from the AI IPO wave and Nvidia's chip announcements, attracting capital rotating into AI infrastructure.",+34.04% 1W return; +28.84% YTD; AI compute narrative; Market cap £2.31B GBP,,,,,
FET,ASI Alliance,Crypto,ai,Crypto,0.212656,+0.87%,+0.57%,+8.70%,+7.02%,+7%,0.358,,,85.06,102388182,595392054,3901271880,,,,,0.87,100.87,0.87,1008.7,8.7,10087.0,87.0,0.57,100.57,0.57,1005.7,5.7,10057.0,57.0,8.7,108.7,8.7,1087.0,87.0,10870.0,870.0,7.02,107.02,7.02,1070.2,70.2,10702.0,702.0,7.0,107.0,7.0,1070.0,70.0,10700.0,700.0,,,,,,,,,,,,,6,buy,0.7,"FET is up +9.18% YTD and +9.08% 1M, with a market cap of £0.365B GBP. As a leading AI agent token, it is riding the same AI-IPO rotation that boosted NEAR and WLD, benefiting from the ecosystem activity around the Fetch.ai network.",+9.08% 1M return; +9.18% YTD; AI agent ecosystem; Market cap £0.37B GBP,,,,,
