ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
IREN,Iris Energy,AI,ai-compute,NASDAQ,67.62,+4.49%,+13.11%,+36.65%,+58.35%,+635%*,17.932,4.179,87.74,41.81,,14.72,buy,1.87,4.49,104.49,4.49,1044.9,44.9,10449.0,449.0,13.11,113.11,13.11,1131.1,131.1,11311.0,1311.0,36.65,136.65,36.65,1366.5,366.5,13665.0,3665.0,58.35,158.35,58.35,1583.5,583.5,15835.0,5835.0,635.0,735.0,635.0,7350.0,6350.0,73500.0,63500.0,"CIFR, WULF, KEEL jump as former Bitcoin miners decouple from lagging Bitcoin price",Blockspace,2026-06-02,-0.273,Can Blackwell Deployment Help IREN Limited Hit $4.4B ARR Target?,Zacks,2026-06-02,0.202,"Blockspace: Anthropic's IPO, IREN’s $3.65B GPU Financing, Strategy Sells BTC, DMG’s 50 MW AI Data Center",CoinDesk,2026-06-02,0.0,10,buy,0.65,"IREN has strong momentum (+36.23% 1M, +57.86% YTD) and a P/E of 87.54. Web search reveals a $3.65B GPU financing deal as a major catalyst, supporting its AI compute story.",+36.23% 1M momentum; +57.86% YTD; $3.65B GPU financing catalyst; AI compute growth,,,,,
CORZ,Core Scientific,AI,ai-compute,NASDAQ,29.73,+4.24%,+12.74%,+40.90%,+85.93%,+142%*,7.019,5.451,,14.1,,22.82,strong_buy,1.33,4.24,104.24,4.24,1042.4,42.4,10424.0,424.0,12.74,112.74,12.74,1127.4,127.4,11274.0,1274.0,40.9,140.9,40.9,1409.0,409.0,14090.0,4090.0,85.93,185.93,85.93,1859.3,859.3,18593.0,8593.0,142.0,242.0,142.0,2420.0,1420.0,24200.0,14200.0,Core Scientific (CORZ): A Shovel-Ready Leader in the AI Tech Landscape,Insider Monkey,2026-06-02,0.0,BTIG Raises Price Target on Core Scientific (CORZ) Following Power Capacity Expansion,Insider Monkey,2026-06-02,0.0,"Core Scientific, Inc. (CORZ): Leopold Aschenbrenner Trims Holding",Insider Monkey,2026-05-31,0.0,8,strong_buy,0.72,"CORZ shows strong momentum (+42.01% 1M, +87.40% YTD) and the best analyst score of 1.33 (strong_buy). Web search confirms its positioning as a 'shovel-ready leader' in AI data centers.",strong_buy consensus (1.33); +42.01% 1M momentum; +87.40% YTD; AI data center leader,,,,,
WULF,TeraWulf,AI,ai-compute,NASDAQ,26.56,+3.35%,+5.48%,+19.16%,+108.48%,+579%*,9.771,4.284,,30.55,,26.2,strong_buy,1.38,3.35,103.35,3.35,1033.5,33.5,10335.0,335.0,5.48,105.48,5.48,1054.8,54.8,10548.0,548.0,19.16,119.16,19.16,1191.6,191.6,11916.0,1916.0,108.48,208.48,108.48,2084.8,1084.8,20848.0,10848.0,579.0,679.0,579.0,6790.0,5790.0,67900.0,57900.0,"CIFR, WULF, KEEL jump as former Bitcoin miners decouple from lagging Bitcoin price",Blockspace,2026-06-02,-0.273,Can Blackwell Deployment Help IREN Limited Hit $4.4B ARR Target?,Zacks,2026-06-02,0.202,Jefferies Initiates Buy Rating on TeraWulf (WULF) Amid AI Data Center Expansion,Insider Monkey,2026-06-02,0.0,,,,,,,,,,
HUT,Hut 8 Mining,AI,ai-compute,NASDAQ,134.71,+0.91%,+19.70%,+72.53%,+162.75%,+724%,11.265,5.718,,4.78,,15.32,strong_buy,1.31,0.91,100.91,0.91,1009.1,9.1,10091.0,91.0,19.7,119.7,19.7,1197.0,197.0,11970.0,1970.0,72.53,172.53,72.53,1725.3,725.3,17253.0,7253.0,162.75,262.75,162.75,2627.5,1627.5,26275.0,16275.0,724.0,824.0,724.0,8240.0,7240.0,82400.0,72400.0,"CIFR, WULF, KEEL jump as former Bitcoin miners decouple from lagging Bitcoin price",Blockspace,2026-06-02,-0.273,Hut 8 Recasts Bitcoin Roots With River Bend AI Data Center Bet,Simply Wall St.,2026-06-02,0.0,American Bitcoin Corp Q1 2026 Earnings Call Summary,Moby,2026-06-01,0.0,5,strong_buy,0.73,"HUT has powerful momentum (+76.22% 1M, +168.36% YTD) and a strong_buy analyst score of 1.31. Web search confirms the River Bend AI data center bet is a key catalyst attracting investor attention.",+76.22% 1M momentum; +168.36% YTD; strong_buy consensus (1.31); AI data center expansion,,,,,
SMCI,Super Micro Computer,AI,ai-compute,NASDAQ,49.58,+0.70%,+33.64%,+77.58%,+60.14%,+9%,22.141,1.684,26.09,40.52,,18.05,hold,2.83,0.7,100.7,0.7,1007.0,7.0,10070.0,70.0,33.64,133.64,33.64,1336.4,336.4,13364.0,3364.0,77.58,177.58,77.58,1775.8,775.8,17758.0,7758.0,60.14,160.14,60.14,1601.4,601.4,16014.0,6014.0,9.0,109.0,9.0,1090.0,90.0,10900.0,900.0,Why Super Micro Stock Just Popped,Motley Fool,2026-06-02,0.599,"Dow, S&P 500 scale peaks as HPE, Alphabet fuel AI momentum",Reuters,2026-06-02,0.0,Gorilla Technology closes $2B Supermicro AI supply deal in India,Proactive,2026-06-02,0.0,4,buy,0.76,"SMCI surged +77.61% in 1M and +60.17% YTD, with an attractive P/E of 26.1 and very high news sentiment of 0.511. Web search highlights continued AI server demand catalyst.",+77.61% 1M momentum; P/E 26.1 low for AI; news sentiment 0.511; AI server demand,,,,,
DELL,Dell Technologies,AI,ai-compute,NYSE,438.69,-7.79%,+43.80%,+107.28%,+245.83%,+316%,211.633,1.062,50.6,8.7,54.0,7.08,buy,1.88,-7.79,92.21,-7.79,922.1,-77.9,9221.0,-779.0,43.8,143.8,43.8,1438.0,438.0,14380.0,4380.0,107.28,207.28,107.28,2072.8,1072.8,20728.0,10728.0,245.83,345.83,245.83,3458.3,2458.3,34583.0,24583.0,316.0,416.0,316.0,4160.0,3160.0,41600.0,31600.0,Where the AI trade goes next,Yahoo Finance Video,2026-06-02,0.0,"Why the epic Dell stock price surge isn't over, Goldman Sachs says",Yahoo Finance,2026-06-02,0.0,HPE stock explodes for one simple reason: It's finally seen as an AI play,Yahoo Finance,2026-06-02,0.34,1,strong_buy,0.85,"DELL has exceptional momentum with +113.83% 1M, +256.76% YTD, and a manageable P/E of 52.19, driven by record AI server demand. Web search shows HPE's soaring AI server backlog as a positive read-across for Dell.",+113.83% 1M momentum; +256.76% YTD return; P/E 52.19; AI server demand catalyst,,,,,
COHR,Coherent Corp,AI,fibre-optical,NYSE,424.21,+17.05%,+11.24%,+28.59%,+118.29%,+351%,61.637,2.053,202.0,7.3,,5.2,buy,1.6,17.05,117.05,17.05,1170.5,170.5,11705.0,1705.0,11.24,111.24,11.24,1112.4,112.4,11124.0,1124.0,28.59,128.59,28.59,1285.9,285.9,12859.0,2859.0,118.29,218.29,118.29,2182.9,1182.9,21829.0,11829.0,351.0,451.0,351.0,4510.0,3510.0,45100.0,35100.0,"Coherent Advances 16%, Lumentum Climbs 13%, Applied Optoelectronics Adds 8% as Optics Rally Broadens",24/7 Wall St.,2026-06-02,0.0,Has Coherent (COHR) Run Too Far After Its 9x Three Year Share Price Surge,Simply Wall St.,2026-06-02,0.296,Applied Optoelectronics Is Up 439% in 2026: Is It Outperforming Other Optics Stocks Like Lumentum and Coherent?,24/7 Wall St.,2026-06-01,0.361,,,,,,,,,,
LITE,Lumentum Holdings,AI,fibre-optical,NASDAQ,1028.16,+12.45%,+12.88%,+5.32%,+166.29%,+1065%,59.39,1.533,180.33,6.5,,13.02,buy,1.58,12.45,112.45,12.45,1124.5,124.5,11245.0,1245.0,12.88,112.88,12.88,1128.8,128.8,11288.0,1288.0,5.32,105.32,5.32,1053.2,53.2,10532.0,532.0,166.29,266.29,166.29,2662.9,1662.9,26629.0,16629.0,1065.0,1165.0,1065.0,11650.0,10650.0,116500.0,106500.0,"Coherent Advances 16%, Lumentum Climbs 13%, Applied Optoelectronics Adds 8% as Optics Rally Broadens",24/7 Wall St.,2026-06-02,0.0,Assessing Lumentum Holdings (LITE) Valuation After A Recent 6% Share Price Move,Simply Wall St.,2026-06-02,0.296,Applied Optoelectronics Is Up 439% in 2026: Is It Outperforming Other Optics Stocks Like Lumentum and Coherent?,24/7 Wall St.,2026-06-01,0.361,,,,,,,,,,
AAOI,Applied Optoelectronics,AI,fibre-optical,NASDAQ,202.51,+8.88%,+14.01%,+17.07%,+411.39%,+1008%,12.069,3.759,,12.39,,12.07,buy,2.33,8.88,108.88,8.88,1088.8,88.8,10888.0,888.0,14.01,114.01,14.01,1140.1,140.1,11401.0,1401.0,17.07,117.07,17.07,1170.7,170.7,11707.0,1707.0,411.39,511.39,411.39,5113.9,4113.9,51139.0,41139.0,1008.0,1108.0,1008.0,11080.0,10080.0,110800.0,100800.0,"Coherent Advances 16%, Lumentum Climbs 13%, Applied Optoelectronics Adds 8% as Optics Rally Broadens",24/7 Wall St.,2026-06-02,0.0,Applied Optoelectronics (AAOI) Climbs 17% as This Analyst is Bullish,Insider Monkey,2026-06-02,0.0,Applied Optoelectronics Is Up 439% in 2026: Is It Outperforming Other Optics Stocks Like Lumentum and Coherent?,24/7 Wall St.,2026-06-01,0.361,,,,,,,,,,
FN,Fabrinet,AI,fibre-optical,NYSE,693.68,+11.20%,+1.90%,-3.36%,+44.69%,+159%,18.459,1.217,59.59,0.79,,8.85,none,,11.2,111.2,11.2,1112.0,112.0,11120.0,1120.0,1.9,101.9,1.9,1019.0,19.0,10190.0,190.0,-3.36,96.64,-3.36,966.4,-33.6,9664.0,-336.0,44.69,144.69,44.69,1446.9,446.9,14469.0,4469.0,159.0,259.0,159.0,2590.0,1590.0,25900.0,15900.0,3 High Growth Tech Stocks To Watch In The US Market,Simply Wall St.,2026-06-02,0.382,Top 3 High Growth Tech Stocks in the US Market,Simply Wall St.,2026-06-01,0.527,Fabrinet (FN) Bets on Co-Packaged Optics With a Strategic Investment in Taiwan,Insider Monkey,2026-05-31,0.0,,,,,,,,,,
MTSI,MACOM Technology,AI,dsp-semi,NASDAQ,375.58,+7.38%,-8.32%,+28.75%,+114.67%,+179%,21.282,1.599,160.5,1.29,,4.33,buy,1.6,7.38,107.38,7.38,1073.8,73.8,10738.0,738.0,-8.32,91.68,-8.32,916.8,-83.2,9168.0,-832.0,28.75,128.75,28.75,1287.5,287.5,12875.0,2875.0,114.67,214.67,114.67,2146.7,1146.7,21467.0,11467.0,179.0,279.0,179.0,2790.0,1790.0,27900.0,17900.0,3 Market-Beating Stocks to Research Further,StockStory,2026-06-02,0.0,Buy 3 Momentum Anomaly Stocks as Tech Rally Spurs Fresh Highs,Zacks,2026-06-01,0.318,MACOM Technology (MTSI) Beats Revenue Estimates on Surging Demand for AI Optical Modules,Insider Monkey,2026-05-31,-0.128,,,,,,,,,,
SMTC,Semtech,AI,dsp-semi,NASDAQ,166.57,+10.84%,+1.28%,+55.52%,+121.32%,+292%,11.523,2.22,,2.94,,6.8,strong_buy,1.36,10.84,110.84,10.84,1108.4,108.4,11084.0,1084.0,1.28,101.28,1.28,1012.8,12.8,10128.0,128.0,55.52,155.52,55.52,1555.2,555.2,15552.0,5552.0,121.32,221.32,121.32,2213.2,1213.2,22132.0,12132.0,292.0,392.0,292.0,3920.0,2920.0,39200.0,29200.0,Semtech’s Q1 Earnings Call: Our Top 5 Analyst Questions,StockStory,2026-06-02,0.202,How Investors May Respond To Semtech (SMTC) Q1 Beat And Confident Q2 Sales Outlook,Simply Wall St.,2026-06-01,0.494,"Nvidia Continues to Be the Core Engine of AI, Says Analyst. Plus, Walmart and 4 More Stocks.",Barrons.com,2026-05-29,0.0,7,strong_buy,0.7,"SMTC boasts strong_buy consensus (1.36), +49.81% 1M momentum, and +113.19% YTD. Web search indicates upcoming Q1 earnings call is a major catalyst with top analyst questions.",strong_buy consensus (1.36); +49.81% 1M momentum; +113.19% YTD; Q1 earnings catalyst,,,,,
CRDO,Credo Technology,AI,dsp-semi,NASDAQ,221.46,+11.01%,-0.08%,+22.99%,+54.63%,+214%,30.218,3.176,121.87,7.3,,6.83,strong_buy,1.33,11.01,111.01,11.01,1110.1,110.1,11101.0,1101.0,-0.08,99.92,-0.08,999.2,-0.8,9992.0,-8.0,22.99,122.99,22.99,1229.9,229.9,12299.0,2299.0,54.63,154.63,54.63,1546.3,546.3,15463.0,5463.0,214.0,314.0,214.0,3140.0,2140.0,31400.0,21400.0,Stock Market Today: S&P 500 Hits A New High; This Power Stock Gets A Jolt (Live Coverage),Investor's Business Daily,2026-06-02,0.0,Can Credo Technologies Shares Hit $350 in 2028?,24/7 Wall St.,2026-06-02,0.296,Credo's Revenue Tripled in FY2026 but Shares Fall,GuruFocus.com,2026-06-02,0.421,,,,,,,,,,
MXL,MaxLinear,AI,dsp-semi,NASDAQ,89.28,+2.03%,-7.12%,+14.29%,+382.33%,+616%,5.937,3.964,,3.97,,4.7,buy,1.82,2.03,102.03,2.03,1020.3,20.3,10203.0,203.0,-7.12,92.88,-7.12,928.8,-71.2,9288.0,-712.0,14.29,114.29,14.29,1142.9,142.9,11429.0,1429.0,382.33,482.33,382.33,4823.3,3823.3,48233.0,38233.0,616.0,716.0,616.0,7160.0,6160.0,71600.0,61600.0,MaxLinear Targets Growing Edge Networking Opportunity With New Deal,Zacks,2026-06-02,0.542,MaxLinear Expands AI Data Center Connectivity As Investors Weigh Growth Story,Simply Wall St.,2026-05-20,0.459,Assessing MaxLinear (MXL) Valuation After New 5G AI And DOCSIS 4.0 Product Launches,Simply Wall St.,2026-05-20,0.0,,,,,,,,,,
KEYS,Keysight Technologies,AI,test-equip,NYSE,344.22,+3.53%,-3.24%,-2.03%,+66.62%,+105%,43.648,1.261,55.52,1.48,,1.38,buy,1.77,3.53,103.53,3.53,1035.3,35.3,10353.0,353.0,-3.24,96.76,-3.24,967.6,-32.4,9676.0,-324.0,-2.03,97.97,-2.03,979.7,-20.3,9797.0,-203.0,66.62,166.62,66.62,1666.2,666.2,16662.0,6662.0,105.0,205.0,105.0,2050.0,1050.0,20500.0,10500.0,The AI Double-Tap That Lit Up Cadence,Trefis,2026-06-02,0.0,Is Keysight Technologies (KEYS) Outperforming Other Computer and Technology Stocks This Year?,Zacks,2026-06-02,0.0,How A Quiet Analyst Tape Is Shaping The Keysight Technologies (KEYS) Investment Narrative,Simply Wall St.,2026-06-01,0.0,,,,,,,,,,
VIAV,Viavi Solutions,AI,test-equip,NASDAQ,51.95,+9.60%,-3.42%,-1.03%,+186.23%,+411%,9.518,1.233,,6.49,,8.34,strong_buy,1.38,9.6,109.6,9.6,1096.0,96.0,10960.0,960.0,-3.42,96.58,-3.42,965.8,-34.2,9658.0,-342.0,-1.03,98.97,-1.03,989.7,-10.3,9897.0,-103.0,186.23,286.23,186.23,2862.3,1862.3,28623.0,18623.0,411.0,511.0,411.0,5110.0,4110.0,51100.0,41100.0,Viavi Targets AI Data Centers And Defense With New Timing Module,Simply Wall St.,2026-06-02,0.128,VIAV Stock Rises 430.7% in a Year: How to Play the Stock,Zacks,2026-06-01,0.34,Keysight Stock Rises 113.2% in the Past Year: How to Play the Stock,Zacks,2026-06-01,0.34,,,,,,,,,,
AXTI,AXT Inc,AI,materials,NASDAQ,110.17,+1.82%,-16.92%,+3.93%,+557.31%,+6232%,5.353,1.757,,11.97,,13.19,none,,1.82,101.82,1.82,1018.2,18.2,10182.0,182.0,-16.92,83.08,-16.92,830.8,-169.2,8308.0,-1692.0,3.93,103.93,3.93,1039.3,39.3,10393.0,393.0,557.31,657.31,557.31,6573.1,5573.1,65731.0,55731.0,6232.0,6332.0,6232.0,63320.0,62320.0,633200.0,623200.0,Three Stocks That May Be Trading Below Estimated Value In May 2026,Simply Wall St.,2026-05-29,0.34,Are You Looking for a Top Momentum Pick? Why AXT (AXTI) is a Great Choice,Zacks,2026-05-29,0.71,Discover May 2026's Stocks That Could Be Trading Below Estimated Value,Simply Wall St.,2026-05-29,0.34,,,,,,,,,,
AMGN,Amgen,Biotech,large-cap,NASDAQ,325.42,-1.69%,-3.13%,+1.24%,+0.77%,+14%,130.429,0.435,22.63,2.6,306.0,2.28,buy,2.46,-1.69,98.31,-1.69,983.1,-16.9,9831.0,-169.0,-3.13,96.87,-3.13,968.7,-31.3,9687.0,-313.0,1.24,101.24,1.24,1012.4,12.4,10124.0,124.0,0.77,100.77,0.77,1007.7,7.7,10077.0,77.0,14.0,114.0,14.0,1140.0,140.0,11400.0,1400.0,"ASCO 2026: Mixed SCLC result for Legend’s LB2102, Novartis expedites manufacture",Pharmaceutical Technology,2026-06-02,0.0,Amgen Secures EU Nod for Imdylltra in Lung Cancer Indication,Zacks,2026-06-02,-0.477,"TScan Therapeutics, Inc. (TCRX) Reports Q1 2026 Results With Improved Net Loss",Insider Monkey,2026-06-02,0.202,8,buy,0.65,"AMGN is a large-cap with low beta (0.435), reasonable P/E of 22.68, and positive news sentiment 0.04; analyst consensus is buy, and it offers stability with modest YTD +0.98%.",low beta 0.435; P/E 22.68; buy consensus; YTD +0.98%,,,,,
GILD,Gilead Sciences,Biotech,large-cap,NASDAQ,127.97,-2.36%,-4.31%,-3.56%,+5.84%,+20%,117.992,0.332,17.41,6.11,250.0,1.87,buy,1.65,-2.36,97.64,-2.36,976.4,-23.6,9764.0,-236.0,-4.31,95.69,-4.31,956.9,-43.1,9569.0,-431.0,-3.56,96.44,-3.56,964.4,-35.6,9644.0,-356.0,5.84,105.84,5.84,1058.4,58.4,10584.0,584.0,20.0,120.0,20.0,1200.0,200.0,12000.0,2000.0,Gilead Sciences (GILD) Announces New Results From a Post Hoc Analysis,Insider Monkey,2026-06-02,0.0,"Gilead Sciences, Inc. (GILD) Gains Attention as Livdelzi Demonstrates Long-Term Efficacy and Safety",Insider Monkey,2026-06-02,0.637,How Is Gilead Sciences's Stock Performance Compared to Other Healthcare Stocks,Barchart,2026-06-02,0.0,,,,,,,,,,
REGN,Regeneron Pharmaceuticals,Biotech,large-cap,NASDAQ,594.66,-1.05%,-6.30%,-16.03%,-23.19%,+23%,46.298,0.296,14.51,0.82,63.0,2.8,buy,1.72,-1.05,98.95,-1.05,989.5,-10.5,9895.0,-105.0,-6.3,93.7,-6.3,937.0,-63.0,9370.0,-630.0,-16.03,83.97,-16.03,839.7,-160.3,8397.0,-1603.0,-23.19,76.81,-23.19,768.1,-231.9,7681.0,-2319.0,23.0,123.0,23.0,1230.0,230.0,12300.0,2300.0,Are Options Traders Betting on a Big Move in Regeneron Stock?,Zacks,2026-06-02,0.0,3 Nasdaq 100 Stocks We Find Risky,StockStory,2026-06-01,-0.202,Regeneron (REGN) Down 12.1% Since Last Earnings Report: Can It Rebound? (Revised),Zacks,2026-06-01,0.0,,,,,,,,,,
VRTX,Vertex Pharmaceuticals,Biotech,large-cap,NASDAQ,425.86,-3.08%,-2.31%,-0.93%,-5.81%,-2%,80.267,0.301,25.3,1.3,,1.99,buy,1.61,-3.08,96.92,-3.08,969.2,-30.8,9692.0,-308.0,-2.31,97.69,-2.31,976.9,-23.1,9769.0,-231.0,-0.93,99.07,-0.93,990.7,-9.3,9907.0,-93.0,-5.81,94.19,-5.81,941.9,-58.1,9419.0,-581.0,-2.0,98.0,-2.0,980.0,-20.0,9800.0,-200.0,Should FDA’s IgA Nephropathy BLA Acceptance for Povetacicept Reshape Vertex Pharmaceuticals’ (VRTX) Investment Narrative?,Simply Wall St.,2026-06-02,0.459,"Got $5,000? 1 Cash-Flow King to Buy and Hold Forever That Wall Street Is Completely Mispricing",24/7 Wall St.,2026-06-02,0.0,FDA Accepts Vertex's BLA for Povetacicept in IgA Nephropathy,Zacks,2026-06-02,0.318,,,,,,,,,,
BIIB,Biogen,Biotech,large-cap,NASDAQ,187.99,-2.21%,-2.64%,+0.42%,+5.72%,+46%,20.611,0.195,20.21,1.16,,3.57,buy,2.0,-2.21,97.79,-2.21,977.9,-22.1,9779.0,-221.0,-2.64,97.36,-2.64,973.6,-26.4,9736.0,-264.0,0.42,100.42,0.42,1004.2,4.2,10042.0,42.0,5.72,105.72,5.72,1057.2,57.2,10572.0,572.0,46.0,146.0,46.0,1460.0,460.0,14600.0,4600.0,Biogen Ends BIIB122 Parkinsons Trial And Refocuses Neurodegeneration Pipeline,Simply Wall St.,2026-06-02,0.0,Is COMPASS Pathways (CMPS) Quietly Recalibrating Its Commercialization Strategy With This Board Appointment?,Simply Wall St.,2026-06-02,0.0,Why Is Biogen (BIIB) Up 3.8% Since Last Earnings Report?,Zacks,2026-05-29,0.0,,,,,,,,,,
BMY,Bristol-Myers Squibb,Biotech,large-cap,NYSE,54.38,-1.12%,-6.28%,-5.22%,+2.78%,+14%,82.475,0.259,15.23,11.56,459.0,1.8,hold,2.52,-1.12,98.88,-1.12,988.8,-11.2,9888.0,-112.0,-6.28,93.72,-6.28,937.2,-62.8,9372.0,-628.0,-5.22,94.78,-5.22,947.8,-52.2,9478.0,-522.0,2.78,102.78,2.78,1027.8,27.8,10278.0,278.0,14.0,114.0,14.0,1140.0,140.0,11400.0,1400.0,Assessing Bristol Myers Squibb (BMY) Valuation As Shares Track Mixed Returns And Earnings Outlook,Simply Wall St.,2026-06-02,0.296,Why Bristol Myers Squibb Stock Isn't Nearly As Cheap As It Looks,Motley Fool,2026-06-02,0.0,AstraZeneca Scores In Liver Cancer On Its Path To $40 Billion In Oncology Sales,Investor's Business Daily,2026-06-01,-0.66,,,,,,,,,,
AZN,AstraZeneca,Biotech,uk-listed,LSE,13214.0,-1.64%,-5.34%,-0.87%,-2.77%,+26%,2.049,0.223,26.8,2.36,176.0,,buy,1.58,-1.64,98.36,-1.64,983.6,-16.4,9836.0,-164.0,-5.34,94.66,-5.34,946.6,-53.4,9466.0,-534.0,-0.87,99.13,-0.87,991.3,-8.7,9913.0,-87.0,-2.77,97.23,-2.77,972.3,-27.7,9723.0,-277.0,26.0,126.0,26.0,1260.0,260.0,12600.0,2600.0,AstraZeneca’s (AZN) CARES Phase III Clinical Programme Fails to Meet Primary End Point,Insider Monkey,2026-06-02,0.234,AstraZeneca Scores In Liver Cancer On Its Path To $40 Billion In Oncology Sales,Investor's Business Daily,2026-06-01,-0.66,Shell And Total Energize LVHI’s Income Stream As Retirees Seek Stable Foreign Yields,24/7 Wall St.,2026-06-01,0.68,,,,,,,,,,
GSK,GSK,Biotech,uk-listed,LSE,1820.5,-1.19%,-5.43%,-1.96%,-0.58%,+24%,0.73,0.298,12.82,8.06,369.0,,hold,2.73,-1.19,98.81,-1.19,988.1,-11.9,9881.0,-119.0,-5.43,94.57,-5.43,945.7,-54.3,9457.0,-543.0,-1.96,98.04,-1.96,980.4,-19.6,9804.0,-196.0,-0.58,99.42,-0.58,994.2,-5.8,9942.0,-58.0,24.0,124.0,24.0,1240.0,240.0,12400.0,2400.0,GSK plc (GSK) Launches Ask2BSure Meningitis Awareness Campaign With Celebrity Advocates,Insider Monkey,2026-06-02,0.0,GSK (LSE:GSK) Valuation Check After Recent Share Pullback And Stronger One Year Return,Simply Wall St.,2026-05-30,0.586,Why Is Glaxo (GSK) Down 2.1% Since Last Earnings Report?,Zacks,2026-05-29,0.0,,,,,,,,,,
CRSP,CRISPR Therapeutics,Biotech,gene-editing,NASDAQ,52.18,-3.32%,+1.14%,-2.61%,-2.96%,+42%,3.737,1.74,,1.92,,32.41,buy,2.04,-3.32,96.68,-3.32,966.8,-33.2,9668.0,-332.0,1.14,101.14,1.14,1011.4,11.4,10114.0,114.0,-2.61,97.39,-2.61,973.9,-26.1,9739.0,-261.0,-2.96,97.04,-2.96,970.4,-29.6,9704.0,-296.0,42.0,142.0,42.0,1420.0,420.0,14200.0,4200.0,CRISPR Therapeutics' Secret Weapon That Many Investors Are Overlooking,Motley Fool,2026-06-01,-0.296,Vertex Stock Down Nearly 8% in 3 Months: Time to Buy or Stay Cautious?,Zacks,2026-06-01,-0.103,CRISPR Therapeutics AG (CRSP) Is a Trending Stock: Facts to Know Before Betting on It,Zacks,2026-06-01,0.0,,,,,,,,,,
BEAM,Beam Therapeutics,Biotech,gene-editing,NASDAQ,29.46,-5.53%,-1.10%,-2.05%,+8.56%,+84%,2.251,2.262,,2.08,,39.93,strong_buy,1.29,-5.53,94.47,-5.53,944.7,-55.3,9447.0,-553.0,-1.1,98.9,-1.1,989.0,-11.0,9890.0,-110.0,-2.05,97.95,-2.05,979.5,-20.5,9795.0,-205.0,8.56,108.56,8.56,1085.6,85.6,10856.0,856.0,84.0,184.0,84.0,1840.0,840.0,18400.0,8400.0,Beam Therapeutics (BEAM) Is Up 17.6% After Advancing BEAM-302 Toward Accelerated Approval in AATD,Simply Wall St.,2026-05-28,0.477,Better Gene-Editing Stock: CRISPR Therapeutics or Beam Therapeutics?,Motley Fool,2026-05-26,0.44,Beam Therapeutics Eyes Sickle Cell BLA as Alpha-1 Gene-Editing Program Advances,MarketBeat,2026-05-20,0.0,5,strong_buy,0.8,"BEAM has a strong_buy analyst consensus (an_score 1.29), positive news sentiment 0.26, and advancing pipeline (BEAM-302 for AATD); YTD is +9.55% with potential for accelerated approval.",strong_buy consensus; news sentiment 0.26; BEAM-302 pipeline; YTD +9.55%,,,,,
NTLA,Intellia Therapeutics,Biotech,gene-editing,NASDAQ,13.19,-3.86%,+4.60%,-4.90%,+43.21%,+79%,1.369,1.933,,5.53,,46.78,buy,2.13,-3.86,96.14,-3.86,961.4,-38.6,9614.0,-386.0,4.6,104.6,4.6,1046.0,46.0,10460.0,460.0,-4.9,95.1,-4.9,951.0,-49.0,9510.0,-490.0,43.21,143.21,43.21,1432.1,432.1,14321.0,4321.0,79.0,179.0,79.0,1790.0,790.0,17900.0,7900.0,ADMA vs Intellia Therapeutics: Which Biotech Stock Is a Better Pick Now?,Zacks,2026-05-27,0.44,High Growth US Tech Stocks To Watch In May 2026,Simply Wall St.,2026-05-27,0.382,Can Intellia's Pipeline Push Drive Long-Term Growth Amid Rivalry?,Zacks,2026-05-19,0.382,9,buy,0.6,"NTLA has strong YTD momentum (+40.93%) and positive news sentiment 0.317, with a buy consensus; but high short interest (46.78%) and no P/E add risk, though it has gene-editing catalysts.",YTD +40.93%; news sentiment 0.317; buy consensus; short interest 46.78%,,,,,
EDIT,Editas Medicine,Biotech,gene-editing,NASDAQ,2.87,-13.44%,-6.98%,-4.50%,+39.76%,+84%*,0.327,2.138,,2.03,,9.79,buy,2.08,-13.44,86.56,-13.44,865.6,-134.4,8656.0,-1344.0,-6.98,93.02,-6.98,930.2,-69.8,9302.0,-698.0,-4.5,95.5,-4.5,955.0,-45.0,9550.0,-450.0,39.76,139.76,39.76,1397.6,397.6,13976.0,3976.0,84.0,184.0,84.0,1840.0,840.0,18400.0,8400.0,CRISPR Therapeutics vs. Editas Medicine: Which Gene Editing Stock Is a Better Buy in 2026?,Motley Fool,2026-05-31,0.44,"Some Analysts Just Cut Their Editas Medicine, Inc. (NASDAQ:EDIT) Estimates",Simply Wall St.,2026-05-11,-0.273,"EDIT's Q1 Loss Narrower Than Expected, Pipeline in Focus",Zacks,2026-05-06,-0.318,,,,,,,,,,
